Drug_Name_CDSCO,Drug_Name_FDA,Indication_CDSCO,Indication_FDA,CDSCO_Approval_Date,FDA_Marketing_Approval_Date,Match_Score,FDA_Generic_Name,FDA_Trade_Name,FDA_Sponsor_Company,FDA_Sponsor_State,FDA_Sponsor_Country
temsirolimus,Temsirolimus,For the treatment of advanced renal cell carcinoma,Treatment of advanced renal cell carcinoma,12/15/2010,05/30/2007,100,Temsirolimus,Torisel,"Wyeth Pharmaceuticals, Inc.",Pennsylvania,United States
altretamine,Altretamine,"For palliative treatment of patients with persistent or recurrent ovarian cancer, following first line therapy with cisplatin and/or alkylating agent based combination.",Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.,03/29/1995,12/26/1990,100,Altretamine,Hexalen,"Medimmune Oncology, Inc.",Pennsylvania,United States
regorafenib,regorafenib,"For the “treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapy”.","Treatment of patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumor (GIST) who have been previously treated with imatinib mesylate and sunitinib malate.",01/07/2014,02/25/2013,100,regorafenib,Stivarga,"Bayer HealthCare Pharmaceuticals, Inc.",New Jersey,United States
arsenic trioxide,Arsenic trioxide,For induction of remission and consolidation in patients with acute promyelocytic leukemia.,"For induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation of PML/RAR-alpha gene expression.",06/12/2003,09/25/2000,100,Arsenic trioxide,Trisenox,"Teva Branded Pharmaceutical Products R&D, Inc.",Pennsylvania,United States
caffeine citrate,Caffeine,For the short treatment of apnoea of prematurity in infants between 28 and <33 weeks gestational age.,Short term treatment of apnea of prematurity in infants between 28 and less than 33 weeks gestational age.,07/21/2009,09/21/1999,100,Caffeine,Cafcit,"O.P.R. Development, L.P.",Kansas,United States
naltrexone hydrochloride,Naltrexone HCl,In the treatment of narcotic antagonist and alcohol dependence.,,11/10/1996,11/30/1984,100,Naltrexone HCl,Trexan,DuPont Pharmaceuticals,Delaware,United States
temozolomide,temozolomide,"For the treatment of; i) Adult patients with newly-diagnosed glioblastoma multiforme concomitantly with radiotherapy (RT) and subsequently as monotherapy treatment. Ii) Children from the age of three years, adolescents and adult patients with malignant glioma.","Treatment of adult patients with refractory anaplastic astrocytoma, i.e., patients at first relapse who have experienced disease progression on a drug regimen containing a nitrosourea and procarbazine",05/28/2010,08/11/1999,100,temozolomide,Temodar,Schering-Plough Research Institute,New Jersey,United States
carfilzomib,carfilzomib,"Relapsed or refractory multiple myeloma i) Carfilzomib for injection is indicated in combination with dexamethasone or with lenalidomide plus dexamethasone for the treatment of patients with relapsed or refractory multiple myeloma who have received one to three prior lines of therapy.","Treatment of patients with multiple myeloma who have received at least two prior therapies including bortezomib and an immunomodulatory agent and have demonstrated disease progression on or within 60 days of completion of the last therapy.",01/17/2017,07/20/2012,100,carfilzomib,Kyprolis,"Onyx Therapeutics, Inc.",California,United States
fomepizole,fomepizole,"As an antidote for Ethylene glycol or Methanol used poisoning or for use in suspected Ethylene glycol or Methanol ingestion, either alone or in combination with hemodialysis.","As an antidote to ethylene glycol (antifreeze) poisoning, or for use in suspected ethylene glycol ingestion.",03/14/2016,12/04/1997,100,fomepizole,Antizole,"Par Pharmaceuticals, Inc.",New York,United States
tranexamic acid,tranexamic acid,"Additional indication-abnormal bleeding in which local hyperfibrinolysis is considered to be involved (pulmonary, haemorrhage, epistaxis, renal bleeding abnormal bleeding during or after prostate surgery).",Treatment of patients with hemophilia for short term use (2 to 8 days) before and after tooth extraction to reduce or prevent hemorrhage and reduce the need for replacement therapy,06/06/2003,12/30/1986,100,tranexamic acid,Cyklokapron,Pharmacia Inc.,Ohio,United States
desmopressin acetate,Desmopressin acetate,"For the treatment of cranial diabetes insipidus, primary nocturnal enuresis in patients.",Treatment of patients with hemophilia A or von Willebrand's disease (type I) whose factor VIII coagulant activity level is greater than 5%.,12/12/2008,03/07/1994,100,Desmopressin acetate,,"Ferring Pharmaceuticals, Inc.",New Jersey,United States
paclitaxel,Paclitaxel,For the treatment of advanced gastric carcinoma.,For the second line treatment of AIDS-related Kaposi's sarcoma.,08/11/2008,08/04/1997,100,Paclitaxel,Taxol,Bristol-Myers Squibb Pharmaceutical Research Institute,Connecticut,United States
pazopanib,pazopanib,For the treatment of patients with advanced Soft Tissue Sarcoma (STS) who have received prior chemotherapy.,Advanced soft tissue sarcoma (STS) who have received prior chemotherapy,02/23/2015,04/26/2012,100,pazopanib,Votrient,Novartis Pharmaceuticals Corp.,New Jersey,United States
plerixafor,plerixafor,"In combination with Granulocyte Colony Stimulating Factor (G-CSF) to enhance mobilisation of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous hematopoietic stem cell transplantation in patients with non-Hodgkin’s lymphoma and multiple myeloma.",To enhance mobilization of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma,01/31/2012,12/15/2008,100,plerixafor,Mozobil,Genzyme Corporation,Massachusetts,United States
nafarelin acetate,Nafarelin acetate,Endometriosis and central precocious puberty only (for gynaecologist only),Treatment of central precocious puberty (gonadotropin-dependent precocious puberty) in children of both sexes.,03/17/1999,02/26/1992,100,Nafarelin acetate,Synarel Nasal Solution,"Syntex (USA), Inc.",California,United States
panobinostat,panobinostat,"In combination with bortezomib and dexamethasone, is indicated for the treatment of patients with multiple myeloma, who received at least 1 prior therapy.","FARYDAK (panobinostat) in combination with bortezomib (BTZ) and dexamethasone (DEX) for the treatment of patients with multiple myeloma who have received at least 2 prior regimens, including bortezomib and an immunomodulatory agent.",03/27/2016,02/23/2015,100,panobinostat,Farydak,zr pharma& GmbH,,Austria
bendamustine hydrochloride,bendamustine hydrochloride,For the use in Indolent B-cell Non-Hodgkin's Lymphoma (NHL) that has progressed during or within six months of treatment with rituximab or a rituximab containing regimen.,Treatment of Indolent B-cell non-Hodgkin lymphoma (NHL) that has progressed during or within six months of treatment with rituximab or a rituximab-containing regimen.,05/18/2011,10/31/2008,100,bendamustine hydrochloride,Treanda,"Cephalon, Inc.",Pennsylvania,United States
rituximab (finished formulation import),rituximab,By cancer specialist for the treatment of patients with relapsed or chemo resistant indolent B cell non-Hodgkin's lymphomas.,"Treatment of patients with relapsed or refractory low-grade or follicular, CD20 positive, B-cell non-Hodgkin's lymphoma.",10/07/2000,11/26/1997,100,rituximab,Rituxan,"Genentech, Inc.",California,United States
eliglustat,eliglustat,"For the long term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers, intermediate metabolizers, or poor metabolizers as detected by an appropriate test.","Long-term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (EMs), intermediate metabolizers (IMs), or poor metabolizers (PMs) as detected by an FDA-cleared test.",01/31/2017,08/19/2014,100,eliglustat,CERDELGA,Genzyme Corporation,Massachusetts,United States
thalidomide caps,Thalidomide,For acute treatment of the cutaneous manifestation of moderate to severe erythema nodosum leprosum and for the treatment of multiple myeloma.,Acute treatment of the cutaneous manifestations of moderate to severe erythema nodosum leprosum (ENL) and as maintenance therapy for prevention and suppression of the cutaneous manifestations of ENL recurrences.,10/30/2001,07/16/1998,100,Thalidomide,Thalomid,Celgene Corporation,New Jersey,United States
