Drug_Name_CDSCO,Drug_Name_FDA,Indication_CDSCO,Indication_FDA,CDSCO_Approval_Date,FDA_Marketing_Approval_Date,Match_Score,FDA_Generic_Name,FDA_Trade_Name,FDA_Sponsor_Company,FDA_Sponsor_State,FDA_Sponsor_Country
azacitidine,azacitidine,For the treatment of adult patients with all subtypes of Myelodysplastic Syndrome.,Treatment of pediatric patients aged one month and older with newly diagnosed juvenile myelomonocytic leukemia (JMML),04/29/2014,05/20/2022,100,azacitidine,Vidaza,Celgene Corporation (a Bristol-Myers Squibb Company),New Jersey,United States
aripiprazole,aripiprazole,For the treatment of schizophrenia.,Treatment of pediatric patients with Tourette's,11/06/2003,12/12/2014,100,aripiprazole,Abilify,Otsuka Pharmaceutical Development,New Jersey,United States
pegaspargase,Pegaspargase,Indicated as a component of multi agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia who are hypersensitive to asparaginase.,ASPARLAS is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia in pediatric and young adult patients age 1 month to 21 years.,07/03/2014,12/20/2018,100,Pegaspargase,Oncaspar; Asparlas,Servier Pharmaceuticals LLC,Massachusetts,United States
propranolol hydrochloride,propranolol,,Treatment of proliferating infantile hemangioma requiring systemic therapy.,01/09/1985,03/14/2014,100,propranolol,HEMANGEOL,Pierre Fabre Dermatologie,New Jersey,United States
genotropin,Genotropin,Short stature due to inadequate or failed incretion of pituitary growth hormone.,,05/09/1994,10/31/1997,100,Somatropin,Genotropin,Pharmacia & Upjohn,Michigan,United States
epirubicin,Epirubicin,"Anti cancer drug- Indicated in the treatment of breast cancer, malignant lymphomas, soft tissue sarcoma, gastric lung and ovarian carcinomas.",Component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer.,01/07/1986,09/15/1999,100,Epirubicin,Ellence,Pharmacia & Upjohn Company,Michigan,United States
clobazam,clobazam,Acute and chronic anxiety states and as an adjunctive therapy in patients with refractory epilepsy.,Adjunctive treatment of seizures associated with Lennox-Gastaut Syndrome inpatients 2 years of age or older,11/11/1997,10/21/2011,100,clobazam,Onfi,"Lundbeck, Inc.",Illinois,United States
glycopyrrolate,glycopyrrolate,"Anaesthetic agent- for use as a pre operative antimuscarinic to reduce salivary, tracheobronchial & pharyngeal secretions, arrhythmias & bradycardia associated with reversal of muscle relaxant.",To reduce chronic drooling in patients aged 3 - 16 with neurologic conditions associated with problem drooling (e.g. cerebral palsy),01/12/1979,07/28/2010,100,glycopyrrolate,Cuvposa,"Shionogi, Inc.",New Jersey,United States
meloxicam,meloxicam,For the treatment of rheumatoid arthritis and osteoarthritis.,For relief of the signs and symptoms of pauciarticular or polyarticular course Juvenile Rheumatoid Arthritis in patients 2 years of age or older,02/16/1999,08/11/2005,100,meloxicam,Mobic,"Boehringer Ingelheim Pharmaceuticals, Inc.",Connecticut,United States
dexrazoxane,dexrazoxane,Prevention of cardiotoxicity of doxorubicin containing chemotherapy regimens.,Treatment of extravasation resulting from IV anthracycline chemotherapy,02/26/2002,09/06/2007,100,dexrazoxane,Totect(r),"Clinigen, Inc.",Pennsylvania,United States
