Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
bosentan,Tracleer,2000-10-06,Treatment of pulmonary arterial hypertension,Designated/Approved,,,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",2017-09-05,2024-09-05,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,' 08002 ' ,United States,134200.0
bosentan,Tracleer,2000-10-06,Treatment of pulmonary arterial hypertension,Designated/Approved,,,Treatment of pulmonary arterial hypertension.,2001-11-20,2008-11-20,,Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,' 08002 ' ,United States,134200.0
(tisagenlecleucel) Autologous T Cells transduced with lentiviral vector containing a chimeric antigen receptor directed against CD19,Kymriah (tisagenlecleucel),2014-01-31,For the treatment of Acute Lymphoblastic Leukemia,Designated/Approved,,,Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse,2017-08-30,2024-08-30,Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse,Novartis Pharmaceuticals Corporation,"One Health Plaza,",Bldg 315 - Room 3650B,East Hanover,New Jersey,' 07936 ' ,United States,415113.0
5-aminolevulinic acid,Gleolan,2013-01-15,Visualization of malignant tissue during surgery for malignant glioma (WHO grades III and IV),Designated/Approved,,,Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery,2017-06-06,2024-06-06,Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery,NX Development Corporation,1827 South Bayshore Lane,,Miami,Florida,' 33133 ' ,United States,387312.0
abatacept,Orencia,2017-12-26,Prevention of graft versus host disease,Designated/Approved,,,"prophylaxis of acute graft versus host disease (aGVHD), in combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor",2021-12-15,2028-12-15,prophylaxis of acute graft versus host disease (aGVHD) in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor,Bristol-Myers Squibb Co.,P. O. Box 5326,,Princeton,New Jersey,' 08543 ' ,United States,614117.0
acalabrutinib,Calquence,2015-05-13,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,,Treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL),2022-08-04,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,477415.0
acalabrutinib,Calquence,2015-09-21,Treatment of mantle cell lymphoma.,Designated/Approved,,,Treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,2022-08-04,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,488915.0
acalabrutinib,,2015-05-13,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,,CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,2019-11-21,2026-11-21,Indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,477415.0
acalabrutinib,Calquence,2015-09-21,Treatment of mantle cell lymphoma.,Designated/Approved,,,in combination with bendamustine and rituximab for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT),2025-01-16,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,488915.0
acalabrutinib,CALQUENCE,2015-09-21,Treatment of mantle cell lymphoma.,Designated/Approved,,,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,2017-10-31,2024-10-31,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,488915.0
acetylcysteine,Acetadote,2001-10-19,For the intravenous treatment of moderate to severe acetaminophen overdose,Designated/Approved,,,"For the use of Acetadote(registered TM) Injection, administered intravenously within 8 to 10 hours after ingestion of a potentially heptotoxic quantity of acetaminophen, to prevent or lessen hepatic injur",2004-01-23,2011-01-23,,"Cumberland Pharmaceuticals, Inc.",209 10th Street South,Suite 332,Nashville,Tennessee,' 37203 ' ,United States,148401.0
acetylcysteine effervescent tablets for oral solution,Cetylev,2015-02-24,Preventing hepatic injury from acetaminophin overdose,Designated/Approved,,,Indicated to prevent or lessen hepatic injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion,2016-01-29,,,"Arbor Pharmaceuticals, Inc.",6 Concourse Parkway,Suite 1800,Atlanta,Georgia,' 30328 ' ,United States,401713.0
acoramidis,Attruby,2018-10-02,Treatment of transthyretin amyloidosis,Designated/Approved,,,treatment of the cardiomyopathy of wild-type or variant transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular death and cardiovascular-related hospitalization,2024-11-22,2031-11-22,treatment of the cardiomyopathy of wild-type or variant transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular death and cardiovascular-related hospitalization,"BridgeBio Pharma, Inc.","1800 Owens St., Suite C-1200",,San Francisco,California,' 94158 ' ,United States,593117.0
acyclovir,Avaclyr,2010-12-13,Treatment of acute herpetic keratitis caused by Herpes Simplex Virus type 1 and 2,Designated/Approved,,,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,2019-03-29,2026-03-29,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,Fera Pharmaceuticals,134 Birch Hill Road,,Locust Valley,New York,' 11560 ' ,United States,325010.0
adagrasib,Krazati,2021-06-07,Treatment for KRAS G12C Positive NSCLC,Designated/Approved,,,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy",2022-12-12,2029-12-12,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy",Bristol-Myers Squibb Company,3401 Princeton Pike,,Lawrenceville,New Jersey,' 08648 ' ,United States,756320.0
adalimumab,HUMIRA,2006-10-19,Treatment of pediatric Crohn's disease,Designated/Approved,,,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 years of age and older with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.",2014-09-23,2021-09-23,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 through 16 years of age with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.","AbbVie, Inc.",1 N. Waukegan Road,"Bldg AP30, Dept. PA77",North Chicago,Illinois,' 60064 ' ,United States,230306.0
adalimumab,Humira,2005-03-21,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older.,2014-09-30,2021-09-30,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.,1 North Waukegan Road,Bldg. AP-30,North Chicago,Illinois,' 60064 ' ,United States,200905.0
adalimumab,Humira,2005-03-21,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 4 years of age and older.,2008-02-21,2015-02-21,,AbbVie Inc.,1 North Waukegan Road,Bldg. AP-30,North Chicago,Illinois,' 60064 ' ,United States,200905.0
adalimumab,HUMIRA,2015-05-13,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,,Treatment of moderate to severe hidradenitis suppurativa in patients 12 years of age and older.,2018-10-16,2025-10-16,Treatment of moderate to severe hidradenitis suppurativa (HS) in adolescent patients 12 years of age and older.,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,' 60064 ' ,United States,446414.0
adalimumab,Humira,2014-05-13,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,,"Treatment of non-infectious intermediate, posterior, and panuveitis in adults and pediatric patients 2 years of age and older",2018-09-28,2025-09-28,"Treatment of non-infectious intermediate, posterior, and panuveitis in pediatric patients 2 years of age and older","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,' 60064 ' ,United States,318510.0
adalimumab,Humira,2014-05-13,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,,"Indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients",2016-06-30,2023-06-30,"Indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,' 60064 ' ,United States,318510.0
adalimumab,Humira,2011-05-11,Treatment of pediatric patients with ulcerative colitis,Designated/Approved,,,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers.,2021-02-24,2028-02-24,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers.,"AbbVie, Inc.",1 North Waukegan Rd,Dept PA72; Bldg AP30-4,North Chicago,Illinois,' 60064 ' ,United States,340911.0
adalimumab,HUMIRA,2015-05-13,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,,Treatment of moderate to severe hidradenitis suppurativa,2015-09-09,2022-09-09,Treatment of moderate to severe hidradenitis suppurativa,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,' 60064 ' ,United States,446414.0
"ADAMTS13, recombinant-krhn",Adzynma,2008-07-29,"Treatment of thrombotic thrombocytopenic purpura including its congenital, acquired idiopathic, and secondary forms",Designated/Approved,,,prophylactic or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with congenital thrombotic thrombocytopenic purpura (cTTP),2023-11-09,2030-11-09,prophylactic or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with congenital thrombotic thrombocytopenic purpura (cTTP),"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,262208.0
afamelanotide,SCENESSE®,2008-07-17,Treatment of erythropoietic porphyrias,Designated/Approved,,,SCENESSE® is indicated to increase pain free light exposure in adult patients with a history of phototoxic reactions from erythropoietic protoporphyria (EPP),2019-10-08,2026-10-08,Indicated to increase pain free light exposure in adult patients with a history of phototoxic reactions from erythropoietic protoporphyria (EPP).,Clinuvel Inc.,P. O. Box 94026,,Menlo Park,California,' 94026 ' ,United States,263208.0
afamitresgene autoleucel,Tecelra,2019-08-26,Treatment of Soft Tissue Sarcoma,Designated/Approved,,,"treatment of adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A02:03P, or -A*02:06P positive and whose tumor expresses the melanoma-associated antigen A4 (MAGE-A4) antigen as determined by FDA-approved or cleared companion diagnostic devices",2024-08-01,2031-08-01,"treatment of adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A*02:03P, or -A*02:06P positive and whose tumor expresses the melanoma-associated antigen A4 (MAGE-A4) antigen as determined by FDA-approved or cleared companion diagnostic devices","Adaptimmune, LLC",351 Rouse Blvd.,,Philadelphia,Pennsylvania,' 19112 ' ,United States,666018.0
afatinib,Gilotrif,2012-12-03,Treatment of epidermal growth factor receptor (EGFR) mutation-positive non-small cell lung cancer (NSCLC).,Designated/Approved,,,GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test.,2018-01-12,2025-01-12,GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations other than exon 19 deletions or exon 21 (L858R) substiution mutationas as detected by an FDA-approved test.,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,' 06877 ' ,United States,375712.0
afatinib,Gilotrif,2015-08-03,Treatment of non-small cell lung cancer with squamous histology.,Designated/Approved,,,"Treatment of patients with metastatic, squamous, non-small cell lung cancer progressing after platinum-based chemotherapy",2016-04-15,2023-04-15,"Treatment of patients with metastatic, squamous, non-small cell lung cancer progressing after platinum-based chemotherapy","Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,' 06877 ' ,United States,484115.0
afatinib,Gilotrif,2012-12-03,Treatment of epidermal growth factor receptor (EGFR) mutation-positive non-small cell lung cancer (NSCLC).,Designated/Approved,,,First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.,2013-07-12,2020-07-12,First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,' 06877 ' ,United States,375712.0
