Drug_Name_CDSCO,Drug_Name_FDA,Indication_CDSCO,Indication_FDA,CDSCO_Approval_Date,FDA_Marketing_Approval_Date,Match_Score,FDA_Generic_Name,FDA_Trade_Name,FDA_Sponsor_Company,FDA_Sponsor_State,FDA_Sponsor_Country
azacitidine,azacitidine,For the treatment of adult patients with all subtypes of Myelodysplastic Syndrome.,Treatment of pediatric patients aged one month and older with newly diagnosed juvenile myelomonocytic leukemia (JMML),04/29/2014,05/20/2022,100.0,azacitidine,Vidaza,Celgene Corporation (a Bristol-Myers Squibb Company),New Jersey,United States
baclofen,baclofen,,"Treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. OZOBAX may also be of some value in patients with spinal cord injuries and other spinal cord diseases.",09/29/1995,09/18/2019,100.0,baclofen,OZOBAX,"Metacel Pharmaceuticals, LLC",Georgia,United States
pazopanib,pazopanib,For the treatment of patients with advanced Soft Tissue Sarcoma (STS) who have received prior chemotherapy.,Advanced soft tissue sarcoma (STS) who have received prior chemotherapy,02/23/2015,04/26/2012,100.0,pazopanib,Votrient,Novartis Pharmaceuticals Corp,New Jersey,United States
triclabendazole bolus,triclabendazole,"Broad spectrum flubicide- Indicated in the treatment of chronic fasciola gigantica, F.hepatica in sheep, goats, cattle and buffaloes.",EGATEN¿ is indicated for the treatment of fascioliasis in patients 6 years of age and older.,01/09/1988,02/13/2019,100.0,triclabendazole,Egaten,Novartis Pharmaceuticals Corporation,New Jersey,United States
eribulin mesylate,eribulin mesylate,For the treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least one chemotherapeutic regimens for advanced disease. Prior therapy should have included an anthracycline and a taxane in either the adjuvantÞ¡,Treatment of patients with unresectable or metastatic liposarcoma who have received a prior anthracyclne-containing regimen,02/18/2015,01/28/2016,100.0,eribulin mesylate,Halaven,Eisai Inc.,New Jersey,United States
mitomycin-c,mitomycin-C,,An adjunct to ab externo glaucoma surgery.,01/12/1972,02/07/2012,100.0,mitomycin-C,Mitosol,"Mobius Therapeutics, LLC",Missouri,United States
deferiprone,deferiprone,,Treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate,07/12/1994,10/14/2011,100.0,deferiprone,Ferriprox,"Chiesi USA, Inc.",North Carolina,United States
hydroxyurea,hydroxyurea,,to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients 6 months of age and older with sickle cell anemia with recurrent moderate to severe painful crises,01/04/2004,12/23/2024,100.0,hydroxyurea,Xromi,Nova Laboratories Limited,Wigston,United Kingdom
meloxicam,meloxicam,For acute painful/inflammatory musculoskeletal painful conditions.,For relief of the signs and symptoms of pauciarticular or polyarticular course Juvenile Rheumatoid Arthritis in patients 2 years of age or older,09/04/2001,08/11/2005,100.0,meloxicam,Mobic,"Boehringer Ingelheim Pharmaceuticals, Inc.",Connecticut,United States
desmopressin acetate,Desmopressin acetate,"For the treatment of cranial diabetes insipidus , primary noctumal enuresis in patients.",Treatment of patients with hemophilia A or von Willebrand's disease (type I) whose factor VIII coagulant activity level is greater than 5%.,12/12/2008,03/07/1994,100.0,Desmopressin acetate,,"Ferring Pharmaceuticals, Inc.",New Jersey,United States
